Date,Forecast
2026-05-28,17749.898
2026-05-29,17757.262
2026-06-01,17767.768
2026-06-02,17780.307
2026-06-03,17794.031
2026-06-04,17808.367
2026-06-05,17822.945
2026-06-08,17837.557
2026-06-09,17852.102
2026-06-10,17866.537
2026-06-11,17880.852
2026-06-12,17895.049
2026-06-15,17909.152
2026-06-16,17923.172
2026-06-17,17937.111
2026-06-18,17950.98
2026-06-19,17964.787
2026-06-22,17978.523
2026-06-23,17992.186
2026-06-24,18005.775
2026-06-25,18019.285
2026-06-26,18032.72
2026-06-29,18046.072
2026-06-30,18059.338
2026-07-01,18072.518
2026-07-02,18085.605
2026-07-03,18098.611
2026-07-06,18111.523
2026-07-07,18124.348
2026-07-08,18137.076
